Country;Region;TotalCases;CumulativeCases1000
United States of America;Americas;102873924;31079.486
China;Western Pacific;99239252;6745.065
India;South-East Asia;44768172;3244.06
France;Europe;38791479;59643.083
Germany;Europe;38368891;46134.914
Brazil;Americas;37319254;17557.093
Japan;Western Pacific;33523927;26506.06
Republic of Korea;Western Pacific;30918060;60305.347
Italy;Europe;25715384;43116.604
The United Kingdom;Europe;24330379;35840.052
Russian Federation;Europe;22727542;15573.801
Türkiye;Europe;17004677;20162.278
Spain;Europe;13798747;29152.725
Viet Nam;Western Pacific;11527745;11842.935
Australia;Western Pacific;11153745;43740.375
Argentina;Americas;10044957;22225.434
Netherlands;Europe;8610372;49463.335
Iran (Islamic Republic of);Eastern Mediterranean;7597982;9045.976
Mexico;Americas;7553646;5858.594
Indonesia;South-East Asia;6752606;2468.747
Poland;Europe;6504340;17135.561
Colombia;Americas;6363058;12505.3
Austria;Europe;6046956;67935.204
Greece;Europe;5972760;55723.504
Portugal;Europe;5577825;54175.158
Ukraine;Europe;5484936;12541.652
Chile;Americas;5272767;27582.714
Malaysia;Western Pacific;5052337;15610.014
Israel;Europe;4817255;55655.158
Belgium;Europe;4782863;41509.116
Thailand;South-East Asia;4728967;6775.026
Czechia;Europe;4636282;43354.296
Canada;Americas;4634277;12278.782
Peru;Americas;4492891;13626.443
Switzerland;Europe;4399085;50829.338
Philippines;Western Pacific;4083678;3726.627
South Africa;Africa;4072533;6866.672
Denmark;Europe;3409630;58556.908
Romania;Europe;3380891;17491.434
Sweden;Europe;2702703;26169.738
Serbia;Europe;2524670;36448.355
Iraq;Eastern Mediterranean;2465545;6129.767
Singapore;Western Pacific;2298689;39291.532
New Zealand;Western Pacific;2217047;45975.526
Hungary;Europe;2199764;22516.589
Bangladesh;South-East Asia;2038091;1237.536
Slovakia;Europe;1865828;34185.992
Georgia;Europe;1836791;46044.383
Jordan;Eastern Mediterranean;1746997;17122.161
Ireland;Europe;1708435;34413.448
Pakistan;Eastern Mediterranean;1580021;715.29
Kazakhstan;Europe;1501450;7996.344
Norway;Europe;1481760;27605.737
Finland;Europe;1468123;26570.958
Slovenia;Europe;1342156;64038.407
Lithuania;Europe;1316086;47102.491
Bulgaria;Europe;1301475;18722.267
Morocco;Eastern Mediterranean;1272733;3448.154
Croatia;Europe;1271276;31326.375
Guatemala;Americas;1244812;6948.214
Lebanon;Eastern Mediterranean;1235177;18096.652
Costa Rica;Americas;1226315;24073.157
